developer,year_posted,recommend,review_sent
"Radial Games Corp,Loren Bednar,Dr. Kimberly Voll,Lindsay Jorgensen",2015,1,2
"Radial Games Corp,Dejobaan Games, LLC",2015,1,2
REX,2016,1,2
Qwiboo Ltd,2015,1,2
Quantumfrog,2015,0,2
Quantized Bit,2014,1,2
Quantic Dream,2016,0,2
Qooc Software,2015,1,2
Qooc Software,2014,3,2
"QUICKTEQUILA,Calum Bowen",2014,1,2
QUICKTEQUILA,2016,2,2
Pyro Studios,2016,2,2
Radical Entertainment,2012,1,2
"Olde Sküül,Sculptured Software",2014,1,2
Aspyr Studios,2011,1,2
Aspyr Studios,2013,1,2
Pathea Games,2016,0,2
Passtech Games,2014,1,2
"Autobotika,Game Nation Inc",2015,0,2
Pandemic Studios,2011,1,2
PIXYUL,2015,1,2
PIXOWL INC.,2014,2,2
Avalanche Software,2015,0,2
Oxide Games,2016,1,2
Oxide Games,2014,1,2
Owlchemy Labs,2016,2,2
Owlbear,2016,1,2
Overhype Studios,2016,1,2
Over the Top Games,2015,1,2
Over the Top Games,2014,1,2
Over the Top Games,2011,1,2
Outerminds Inc.,2016,1,2
Outerminds Inc.,2015,1,2
Outerlight Ltd.,2012,1,2
Other Ocean Interactive,2014,0,2
Organic Humans,2015,1,2
"MicroProse Software, Inc",2013,1,2
Orbital Knight,2015,1,2
Opus,2016,0,2
Onson Soft,2015,0,2
Onson Soft,2014,1,2
On The Level Game Studios,2014,1,2
Avidly Wild Games,2015,0,2
Paul Bird,2016,1,2
Paul Fisch,2016,0,2
Peach Pie Productions,2016,1,2
Peacock Dreams Games,2016,1,2
Aspyr Studios,2014,1,2
PixelFade Inc,2016,1,2
PixelFade Inc,2015,1,2
Pixel Ferrets,2015,1,2
Pixel Federation,2016,0,2
Pivotal Games,2015,1,2
"Pirozhok Studio,Vitaliy Ruzankin",2016,1,2
Aspyr Studios,2015,0,2
Piranha Bytes,2016,0,2
Piranha Bytes,2015,1,2
Piranha Bytes,2014,1,2
Piranha Bytes,2012,1,2
Pipeworks Studio,2016,1,2
Pixeljam,2016,2,2
"Pilgrim Adventures,GrabTheGames Studios",2016,1,2
PiGravity,2015,2,2
Phr00t's Software,2016,1,2
Photon Arena,2015,0,2
Phoenix Online Studios,2016,0,2
AtomicTorch Studio,2015,1,2
Atum Software,2016,0,2
Atypical Games,2015,1,2
Petit Depotto,2014,1,2
Peter Moorhead,2015,0,2
Peter Brinson and Kurosh ValaNejad,2016,1,2
Aurelien Regard,2015,1,2
PestoForce,2015,1,2
Austin Handle,2016,0,2
Atapki,2015,0,2
"MicroProse Software, Inc",2012,1,2
Capcom Vancouver,2013,1,2
Michaela Laws,2016,1,2
IonFX,2014,1,2
Ion Storm,2013,1,2
Ion Storm,2011,1,2
"Io-Interactive A/S,Feral Interactive (Linux),Feral Interactive (Mac)",2016,1,2
"Invictus-Games LLC.,ImageCode LLC.",2016,1,2
Introversion Software,2011,1,2
Interplay Inc.,2015,3,2
Interplay Inc.,2012,1,2
Interdimensional Games Inc,2016,2,2
Interdimensional Games Inc,2014,1,2
InterAction studios,2015,1,2
Insurgency Development Team,2013,1,2
Bithell Games,2015,2,2
IonFx,2013,1,2
Instant Kingdom,2015,1,2
Ino-Co Plus,2015,1,2
Ino-Co Plus,2012,1,2
Ino-Co,2011,1,2
Innocent Grey,2016,1,2
Ink Stains Games,2016,1,2
Infinite Monkeys Entertainment Ltd.,2014,1,2
Inferno Games,2016,1,2
Incandescent Games,2014,1,2
Black Death Apps Limited,2016,1,2
Image &amp; Form,2016,1,2
Image &amp; Form,2014,1,2
Image &amp; Form,2013,1,2
Imaekgames [Imaek Limited],2015,0,2
Bithell Games,2016,1,2
Illwinter Game Design,2015,1,2
Iridium Studios,2011,1,2
BitFinity,2016,1,2
KHB-Soft,2016,1,2
KADOKAWA GAMES / GRASSHOPPER MANUFACTURE,2014,1,2
KADOKAWA,2015,2,2
"Jurlo,JetPackGone",2015,1,2
"JumpStart Games, Inc.",2015,2,2
JumpCore Productions,2016,0,2
JumpCore Productions,2015,1,2
Jujubee S.A.,2014,1,2
Juicy Beast Studio,2016,0,2
Joshua Neurnberger,2015,1,2
Josh Koenig (Slashandz),2016,1,2
Jon Sudbury Games,2016,1,2
John Wizard,2016,1,2
"BitMonster, Inc.",2014,1,2
John Cullen,2015,1,2
BioWare Corporation,2013,1,2
Jasper Byrne,2013,1,2
Jason Oda,2014,1,2
"BioWare,Aspyr (Mac)",2010,1,2
Jagex,2016,1,2
"BioWare,Aspyr (Mac)",2012,2,2
Italic Pig,2015,1,2
"Irrational Games,Looking Glass Studios",2016,1,2
"Irrational Games,Looking Glass Studios",2014,3,2
Irrational Games,2014,1,2
Ironsun Studios,2015,1,2
"Ironclad Games,Stardock Entertainment",2012,1,2
Iron Tower Studio,2016,1,2
"Jetdogs Studios,Zoom Out Games",2016,3,2
IllFonic,2013,1,2
Black Element,2014,0,2
"Iguana Entertainment,Nightdive Studios",2015,1,2
Blackhole,2015,0,2
Hexage,2016,1,2
Hexage,2014,1,2
Hesketh Studios,2016,1,2
Blackpowder Games,2013,1,2
Hemisphere Games,2010,1,2
Hellbent Games,2015,1,2
Heartbit Interactive,2015,1,2
Headup Games / Radon Labs,2014,1,2
Headfirst Productions,2016,1,2
Harvester Games,2016,1,2
Harvester Games,2015,1,2
Harvester Games,2014,1,2
Blackhole,2012,1,2
Handyman Studios,2016,0,2
Hanako Games,2013,3,2
Hammerfall Publishing,2016,0,2
Hammer Labs,2016,1,2
Hammer Labs,2014,1,2
Halycon Media GmbH &amp; Co. KG,2014,1,2
Blendo Games,2012,1,2
HE SAW,2015,1,2
"HANBITSOFT, INC.,IMC GAMES CO.,LTD.",2016,0,2
Blendo Games,2014,2,2
"Gromada,Buka Entertainment",2015,1,2
Grip Games,2015,1,2
Grey Alien Games,2016,2,2
Grey Alien Games,2015,1,2
Hanako Games,2016,2,2
High Impact Games,2016,1,2
Blackfire Games,2015,1,2
Hippomancer,2014,1,2
Igry.ru,2015,1,2
Idol FX,2015,1,2
Idol FX,2014,1,2
"Idea Factory,Design Factory",2015,1,2
Black Element,2015,1,2
Icetesy SPRL,2016,1,2
Black Forest Games,2015,0,2
Ice-Pick Lodge,2014,1,2
Ian Campbell,2015,2,2
ISOTX,2016,1,2
IO Entertainment,2015,1,2
Black Isle Studios,2016,1,2
Black Jacket Studios,2013,1,2
IDHAS Studios,2014,1,2
Hörberg Productions,2016,1,2
Hörberg Productions,2015,1,2
Hydravision Entertainment,2016,1,2
Hydravision Entertainment,2015,1,2
Hunted Cow Studios,2015,1,2
Housemarque,2014,1,2
House of Tales,2015,1,2
House On Fire,2016,1,2
Black Pants Studio,2015,1,2
Hothead Games,2013,1,2
Hothead Games,2012,1,2
Black Sea Studios Ltd,2015,1,2
BlackSpot Entertainment,2016,1,2
Hitbox Team,2016,1,2
Hitbox Team,2013,1,2
KING Art,2013,1,2
BioWare,2010,1,2
"KOEI TECMO GAMES CO., LTD.",2016,4,2
Kaos Studios,2014,1,2
Malfador Machinations,2015,1,2
Malfador Machinations,2013,1,2
MagicalTimeBean,2013,1,2
Magic Notion,2016,1,2
MachineSpirit,2015,1,2
Machine 22,2016,1,2
MURA Interactive,2015,0,2
MURA Interactive,2014,1,2
MR-Software GbR,2016,2,2
MR-Software GbR,2014,2,2
MOONSTONE,2015,1,2
Best Gaem Studio,2016,1,2
MEGAFUZZ,2015,1,2
Mana Games,2015,1,2
MEGAFUZZ,2014,1,2
MAGES. Inc.,2016,1,2
MAGES. Inc.,2015,3,2
"M2 Co.,LTD",2015,3,2
Lunar Giant,2014,0,2
Ludosity,2016,0,2
Best Way,2011,1,2
Ludosity,2014,1,2
Best Way,2012,1,2
Lucasfim,2016,1,2
"LucasArts,Aspyr Studios",2014,3,2
LucasArts,2012,1,2
BetaDwarf,2016,1,2
Love Conquers All Games,2015,1,2
MAGIX Software GmbH,2015,1,2
Manic Game Studios,2013,1,2
Benjamin Rivers Inc.,2015,1,2
"Manuel Pazos,Daniel Celemín",2016,0,2
"Michael Todd Games,Yazar Media Group LLC",2015,1,2
Beamdog,2015,1,2
Michael Flynn,2016,1,2
Meteoric Games,2015,1,2
Beamdog,2016,0,2
"Raven Software,Aspyr (Mac)",2011,1,2
MercurySteam - Climax Studios,2013,1,2
BeautiFun Games,2014,1,2
MercurySteam,2014,1,2
Memetic Games,2014,1,2
Bedtime Digital Games,2015,1,2
Megadev,2016,1,2
Megadev,2015,1,2
Megadev,2014,3,2
Beenox,2016,1,2
"Mediatonic,Hato Moa,The Irregular Corporation",2014,2,2
Maxis™,2012,1,2
Matt Thorson,2016,1,2
Matt Roszak,2016,1,2
Behold Studios,2015,2,2
"Ben 'Yahtzee' Croshaw,Collected Worlds",2015,1,2
"Massive Damage, Inc.",2016,1,2
Ben Prunty Music,2015,1,2
Benjamin Bryant,2015,1,2
"Marvelous, Inc.",2016,0,2
Martin Ivanov,2016,1,2
Benjamin Rivers Inc.,2013,1,2
Martin Ivanov,2013,1,2
Benjamin Rivers Inc.,2014,1,2
Lost Decade Games,2015,1,2
"MicroProse Software, Inc",2011,1,2
Loren Lemcke,2014,1,2
Lonely Troops,2015,1,2
LDC Studios,2015,1,2
Kylotonn Entertainment,2014,1,2
Big Fat Alien,2016,1,2
Kumobius,2016,1,2
Kudosoft,2011,1,2
Kronosaur Productions,2015,1,2
Krome Studios,2015,1,2
Krome Studios,2014,2,2
Big Finish Games,2015,1,2
Konstantin Koshutin,2016,1,2
"Big Huge Games,38 Studios",2013,1,2
Koga Tech Limited,2015,1,2
"Koboldgames,Daedalic Entertainment",2014,1,2
LGK Games,2014,1,2
Knuckle Cracker,2015,2,2
Kloonigames,2011,1,2
Kinelco &amp; Lone Elk Creative,2014,1,2
Big Robot Ltd,2016,1,2
Kheops Studio,2016,1,2
Key17 Games,2014,1,2
BigAnt Studios,2014,1,2
Kerberos Productions,2014,0,2
Keen Software House,2016,1,2
Keen Games,2015,1,2
Katauri Interactive,2015,1,2
Katauri,2015,2,2
Binary Fortress Software,2015,1,2
"Kaos Studios,Digital Extremes",2016,1,2
Knuckle Cracker,2014,1,2
LUCKY GIRLS LIMITED,2015,1,2
Labyrinthine,2016,1,2
"Lamina Studios,Mike Studios",2015,1,2
Lonely Troops,2014,1,2
Logic Artists,2016,1,2
Little Green Men Games,2015,1,2
Little Big Lee,2016,1,2
Lionheart Creations,2015,1,2
Lionhead Studios,2013,1,2
Lion's Shade,2015,1,2
Limbic Entertainment,2015,1,2
Limasse Five,2014,1,2
Lightmare Studios,2016,1,2
Lightmare Studio,2015,0,2
Lighthouse Games Studio,2016,1,2
Lighthouse Games Studio,2015,1,2
"高考恋爱委员会,橘子班",2015,1,2
Liar-soft,2016,1,2
"Level Up Labs, LLC",2016,1,2
"Level Up Labs, LLC",2014,1,2
"Level Up Labs, LLC",2013,1,2
Lemonsucker Games,2016,1,2
Biart Company LLC,2016,1,2
Legend Studio,2015,1,2
Lazy Monday Games,2016,1,2
Lazy Bum Games,2015,0,2
Last Limb LLC,2014,1,2
Last Dimension,2014,1,2
Last Day of Work,2014,1,2
"Laser Guided Games, LLC",2015,0,2
Landfall,2016,2,2
Laminar Research,2015,0,2
Lonely Troops,2016,1,2
"Raven Software,Aspyr (Mac)",2012,1,2
Red Duck Inc.,2014,0,2
Raven Travel Studios,2016,1,2
"Triple-Star Studio,Rock Path Collective",2016,1,2
"Trion Worlds, Inc.",2016,2,2
Trickstar Games,2015,1,2
Tribute Games Inc.,2014,1,2
Triangle Studios,2016,1,2
Triangle Studios,2015,1,2
Trese Brothers,2015,1,2
Trendy Entertainment,2011,1,2
TreeFortress Games,2016,1,2
TreeFortress Games,2015,1,2
"Traveller's Tales,Feral Interactive (Mac)",2013,1,2
"Traveller's Tales,Feral Interactive (Mac)",2011,1,2
773,2014,1,2
Trashmasters,2015,0,2
Trapdoor Inc.,2012,1,2
Transhuman Design,2016,1,2
Transcendent Games,2016,1,2
777 Studios,2015,0,2
Tragnarion Studios,2014,1,2
Touz,2016,0,2
777 Studios,2016,1,2
Totally Games,2016,0,2
Tomorrow Corporation,2016,1,2
Tomoaki Sugeno,2014,1,2
"Tomi Maarela,Elias Viglione",2014,1,2
Tokyo RPG Factory,2016,1,2
8888888 LABS,2015,1,2
Triple.B.Titles,2016,1,2
TripleBrick,2016,1,2
Triumph Studios,2011,1,2
"Triumph Studios,Virtual Programming",2011,2,2
Uppercut Games Pty Ltd,2014,1,2
"Upper One Games,E-Line Media",2015,0,2
Unwonted Studios,2015,1,2
"United Independent Entertainment GmbH,Actalogic",2015,1,2
Unicorn Games Studio,2015,0,2
Unfinished Pixel,2014,1,2
Underdog Games,2016,1,2
Ultravision Interactive,2015,1,2
Ultra Runaway Games,2014,1,2
Ubisoft Reflections,2013,1,2
48h Studio,2016,1,2
"Ubisoft Paris,Red Storm Entertainment",2013,1,2
Ubisoft Montreal,2012,2,2
ToMorning Productions,2015,1,2
Ubisoft Montreal,2011,1,2
Ubisoft,2013,1,2
"UBIart Montpellier,Feral Interactive (Mac)",2013,1,2
"UBIart Montpellier,Feral Interactive (Mac)",2012,1,2
5 Bits Games,2014,1,2
"Ty Taylor and Mario Castañeda,The Quantum Astrophysicists Guild",2013,1,2
Twisted Pixel Games,2014,1,2
Twice Circled,2015,0,2
Turbo Pixel Studios,2014,1,2
Tuomo Laine,2015,1,2
Tuesday Society,2016,1,2
5 Lives Studios,2016,1,2
"Triumph Studios,Virtual Programming",2016,1,2
"Triumph Studios,Virtual Programming",2015,2,2
Ubisoft Montreal,2010,1,2
Uppercut Games Pty Ltd,2016,1,2
88mm,2014,0,2
TimeSymmetry,2015,1,2
The Chinese Room,2015,1,2
ACE Team,2012,1,2
The Binary Mill,2013,1,2
ACE Team,2013,2,2
ACE Team,2014,2,2
Test3 Projects,2015,2,2
Tesseract Interactive,2016,0,2
Terry Cavanagh,2011,1,2
Terrible Posture Games,2015,1,2
Terrible Posture Games,2014,1,2
Terri Vellmann,2014,3,2
"Tequila Works, S.L.",2016,1,2
ACE Team,2016,1,2
Tennen-sozai,2013,1,2
"Tendershoot,A Jolly Corpse",2015,1,2
Telltale Games,2011,1,2
Teeworlds Team,2016,1,2
Team6 game studios B.V.,2015,0,2
Team17 Software Ltd.,2013,1,2
Team17 Digital Ltd,2012,1,2
ALICE IN DISSONANCE,2016,1,2
Team Indev,2016,1,2
Team Chivalry,2013,2,2
Team Chivalry,2011,1,2
"Team Chaos, LLC",2015,1,2
"Team Chaos, LLC",2014,1,2
Team 6 Studios,2015,0,2
The Chinese Room,2016,1,2
The Creative Assembly,2011,1,2
The Creative Assembly,2012,1,2
"The Creative Assembly,Feral Interactive (Mac)",2011,3,2
9heads Game Studios,2016,1,2
TimeGate Studios,2012,1,2
TimeGate Studios,2011,1,2
Tim Sullivan,2016,1,2
Tim Sullivan,2015,1,2
"Tilted Mill Entertainment, Inc.",2016,1,2
Tigerish Games,2016,1,2
Tiger Style,2014,1,2
TickTock Games,2015,1,2
Thunder Lotus Games,2016,1,2
Three Rings,2015,1,2
Three Rings,2012,1,2
Three Rings,2011,1,2
8monkey Labs,2014,0,2
@unepic_fran,2014,2,2
Thomas Happ Games LLC,2015,1,2
The Tambourine,2016,0,2
@unepic_fran,2015,1,2
@unepic_fran,2016,1,2
The Indie Stone,2016,1,2
The Glitch Factory,2016,0,2
The Game Kitchen,2015,1,2
The Game Bakers,2016,2,2
The Farm 51,2014,3,2
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2012,1,2
ACE MADDOX,2016,1,2
"The Creative Assembly,Feral Interactive (Mac)",2016,1,2
"The Creative Assembly,Feral Interactive (Mac)",2012,1,2
Threaks,2014,1,2
Urban Games,2014,1,2
Urban Games,2016,1,2
VIS - Visual Imagination Software,2014,1,2
b-alive gmbh,2014,1,2
2DEngine.com,2013,1,2
"2K Australia,Gearbox Software,Aspyr (Mac &amp; Linux)",2015,1,2
[geim].pro,2016,0,2
[OneManBand],2016,1,2
Zoë Mode,2010,1,2
Zombie Studios,2014,3,2
"2K Boston,2K Australia",2011,1,2
Zinertek,2016,1,2
Zeroscale,2012,1,2
Zeiva Inc,2016,2,2
Zeboyd Games,2014,1,2
Zeboyd Games,2012,1,2
"Zaxis Games,B-evil",2014,0,2
Zaratustra Productions,2014,1,2
Zaratustra Productions,2013,1,2
Zaratustra Productions,2010,1,2
Zanrai Interactive,2015,1,2
Zandel Media,2015,1,2
ZackBellGames,2016,2,2
ZackBellGames,2015,1,2
Zachtronics,2012,1,2
Z4G0 and Ivan Venturi Productions,2015,1,2
Yume Creations,2016,0,2
Yeti Trunk,2015,1,2
Yakiniku Banzai,2015,1,2
"2K Czech,Feral Interactive (Mac)",2012,1,2
2DArray,2014,1,2
bitHuffel,2015,1,2
2D BOY,2012,1,2
24 Caret Games,2014,1,2
webgames,2015,0,2
vikingfabian.com,2016,1,2
vidiludi games and entertainment,2015,1,2
"10th Art Studio,Adventure Productions",2015,1,2
10tons Ltd,2016,1,2
14° East,2015,1,2
17-BIT,2014,1,2
17-BIT,2015,1,2
1C Company,2010,1,2
1C-Avalon,2014,1,2
1C-Avalon,2015,0,2
oddonegames,2015,1,2
1C-SoftClub,2014,0,2
YFYX GAMES,2016,1,2
1C-SoftClub,2015,1,2
1C: Maddox Games,2012,1,2
kunst-stoff GmbH,2014,1,2
increpare games,2012,1,2
inXile Entertainment,2016,0,2
inXile Entertainment,2013,1,2
id Software,2010,1,2
1C:InoCo,2013,2,2
1C:InoCo,2016,1,2
exosyphen studios,2015,1,2
exosyphen studios,2014,1,2
erobotan,2016,1,2
electrolyte,2015,1,2
doublesix,2011,1,2
1C: Maddox Games,2010,1,2
Xtal Sword,2013,1,2
"Xavi Canal, Ben Palgi",2015,1,2
"Xavi Canal, Ben Palgi",2014,1,2
"Volition, Inc.",2014,2,2
"Volition, Inc.",2013,1,2
"Vlambeer,Croteam",2015,1,2
Vlambeer,2012,1,2
Vivid Games S.A.,2015,1,2
Vitali Kirpu,2016,2,2
VisualArts/Key,2016,1,2
Visual Concepts,2015,0,2
Visceral Games,2016,2,2
2x2 Games,2014,1,2
Visceral Games,2013,1,2
Virtual Racing Industries Ltd.,2016,1,2
"Virtual Basement LLC,Code Headquarters LLC",2016,1,2
"Volition,Reactor Zero,THQ Nordic",2012,1,2
"Virgin Interactive Entertainment,PriitK",2015,1,2
Vigil Games,2014,2,2
Vigil Games,2012,1,2
"Vicious Cycle Software, Inc.",2014,2,2
Vicious Cycle Software,2016,1,2
Very Simple Idea Studios,2015,1,2
3 Sprockets,2014,1,2
"Vectorpark, Inc.",2014,1,2
"Vblank Entertainment, Inc.",2016,1,2
"Vblank Entertainment, Inc.",2012,1,2
"Vanguard Games,343 Industries",2016,1,2
Vagabond Dog,2016,1,2
Vae Victis Games,2016,0,2
Vae Victis Games,2015,1,2
"Ville Mönkkönen,Anne Mönkkönen",2014,1,2
Tasty Stewdios LLC,2015,1,2
VolumeUp Studios,2016,1,2
Voxler Games,2014,1,2
XGen Studios,2014,1,2
"X1 Software,AWAR",2013,1,2
X-Legend,2016,1,2
X-Bow Software,2016,1,2
2K Marin,2015,2,2
"World-Loom,Nitreal",2014,1,2
Wolfire Games,2011,1,2
Wizarbox,2016,0,2
Wizarbox,2014,0,2
Wizarbox,2013,0,2
With The Love Studios,2014,0,2
"Wisdom Tree, Inc.",2015,1,2
Winter Wolves,2015,1,2
Volumetric Games,2016,1,2
Windybeard,2014,1,2
WildTangent,2014,1,2
Wild Games Studio,2013,1,2
WhiteMoon Dreams,2014,1,2
White Rabbit Games,2016,1,2
WayForward,2015,2,2
Warlock Wireless,2016,1,2
WarfareSims,2016,1,2
"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)",2012,1,2
"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)",2013,1,2
Walter Machado,2016,1,2
WTFOMGames,2016,0,2
WRF Studios,2015,1,2
WOLCEN Studio,2016,1,2
Wildgrass,2015,1,2
Targem Games,2016,1,2
Tango Gameworks,2014,4,2
Abbey Games,2016,1,2
Sam Atlas,2016,1,2
Sakura River Interactive,2015,1,2
Sakari Indie &amp; GriN,2014,0,2
Sakari Indie,2011,1,2
"Sachonski,Renamilanesi,Sith",2015,2,2
Saber Interactive,2015,1,2
Saber Interactive,2014,1,2
Saber Interactive,2013,1,2
STUDIO RADI-8,2016,0,2
Anothink,2015,1,2
"SNK CORPORATION,DotEmu",2016,1,2
"SNK CORPORATION,Code Mystics",2015,1,2
SNK CORPORATION,2016,1,2
SMG Studio,2014,1,2
SFB Games,2015,1,2
SFB Games,2014,1,2
"SEGA Studios Australia,Feral Interactive (Mac)",2014,1,2
SEGA,2012,1,2
"S Houben,N Tailor,A Barnett",2016,2,2
"Antanas Marcelionis,Renė Petrulienė",2015,1,2
Runic Games,2016,2,2
Apeiron,2014,1,2
Rune Forge,2015,0,2
"Rudolf Kremers &amp; Alex May,Tuna",2014,1,2
Rsupport Inc.,2016,0,2
Rsupport Inc.,2015,1,2
Rovio Entertainment Ltd,2014,1,2
Sam Barlow,2016,1,2
"Sami Maaranen (creator),Erkka Lehmus (co-designer)",2016,1,2
Samurai Punk,2015,2,2
Sandlot Games,2012,1,2
Anarchy Enterprises,2015,1,2
Sigma Team Inc.,2015,0,2
Siege Games,2016,1,2
Shortbreak Studios s.c.,2014,2,2
Shorebound Studios,2016,1,2
Shiro Games,2013,1,2
Shiny Entertainment,2014,1,2
Shining Gate Software,2015,1,2
Shifty Chair Games,2015,1,2
Shield Break Studios,2015,0,2
Andrii Vintsevych,2015,1,2
Serious Brew,2013,1,2
Serenity Forge,2015,1,2
Rootify,2016,1,2
Serellan LLC,2016,1,2
Senscape,2015,1,2
SeeThrough Studios,2016,0,2
SecureMix LLC,2016,1,2
Section Studios,2016,1,2
Secret Exit Ltd.,2013,1,2
Secret Exit Ltd.,2011,1,2
Anisoptera Games,2015,3,2
Sebastian Nigro,2015,1,2
Scirra,2015,0,2
Sauropod Studio,2013,1,2
Satsu,2016,1,2
Santa Ragione,2013,1,2
Sandswept Studios,2016,1,2
Animu Game,2016,1,2
Ronimo Games,2011,1,2
Aperture Tag Team,2016,1,2
"Roll7,General Arcade",2015,0,2
Remedy Entertainment,2016,1,2
"Relic Entertainment,THQ Nordic",2015,1,2
Relic,2013,2,2
Relic,2012,1,2
Reflextions,2016,1,2
Archive Entertainment,2016,1,2
Redwood Games,2015,1,2
Redshift,2015,1,2
"Redlynx Ltd,Ubisoft  Shanghaï",2015,1,2
Redlynx,2012,1,2
"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev",2015,0,2
Red Team Games,2015,1,2
"Red Storm Entertainment,Ubisoft Montreal",2014,1,2
Renegade Kid,2015,1,2
Red Storm Entertainment,2015,0,2
Red Nettle Studio,2016,1,2
Gremlin Interactive,2016,1,2
Red Duck Inc.,2013,2,2
Red Abyss Software,2016,1,2
Recoil Games,2014,2,2
Recoil Games,2012,1,2
Realmforge Studios,2014,0,2
Realmforge Studios,2013,0,2
Reality Pump Studios,2012,1,2
Real Dynamics,2015,0,2
Reactor Zero,2015,0,2
Razorworks,2016,1,2
Arkavi Studios,2014,0,2
Red Storm Entertainment,2014,1,2
Signal Studios,2012,1,2
Replay Studios,2016,1,2
Reverie World Studios,2013,1,2
Aquiris Game Studio,2016,1,2
Arachnid Games,2013,1,2
Rogue Snail,2016,1,2
Rogue Factor,2014,1,2
Rogue Entertainment,2016,1,2
"Rodeo Games,Twistplay",2016,1,2
Arachnid Games,2014,1,2
Rocktastic Games,2016,1,2
"Rocksteady Studios,Feral Interactive (Mac)",2012,1,2
Aratog LLC,2015,1,2
Rockstar San Diego,2016,1,2
Rockstar North / Toronto,2016,1,2
Rockstar North / Toronto,2015,1,2
Retro Army Limited,2015,1,2
Rockstar North / Toronto,2011,1,2
Rocket Bear Games,2014,1,2
Robotronic Games,2016,0,2
Robot Gentleman,2016,1,2
Robot Gentleman,2015,3,2
Rob Howland,2016,1,2
Rival Games Ltd,2015,1,2
Rising Sun Interactive,2015,1,2
Rising Star Games,2015,1,2
Richard Seabrook,2016,0,2
Rhaon Entertainment,2015,1,2
Revolution Software Ltd,2016,1,2
Revolution Software Ltd,2014,1,2
Revolution Software Ltd,2013,1,2
Rocket Bear Games,2015,1,2
"Raven Software,Aspyr (Mac)",2016,2,2
"Signal Studios,Krome Studios",2016,1,2
Amanita Design,2016,1,2
Studio Bean,2014,1,2
Strike Games,2014,2,2
Stridemann,2016,1,2
Streum On Studio,2016,2,2
Streum On Studio,2011,1,2
Aeon Dream Studios,2016,1,2
Afterthought LLC,2015,1,2
Strange Loop Games,2015,1,2
Strange Fire,2016,2,2
Stout Games,2016,0,2
Stout Games,2013,1,2
Stout Games,2012,1,2
Stone Blade Entertainment,2014,1,2
Stoic,2013,1,2
StephenAllen,2015,0,2
Steel Monkeys,2016,1,2
Airtight Games,2016,1,2
Aivaras Klimas,2016,1,2
Akakiy Petrushkin,2015,0,2
Stately Snail,2016,1,2
Stately Snail,2015,1,2
State of Play Games,2014,0,2
Stardock Entertainment,2014,1,2
Stardock Entertainment,2012,1,2
StarWraith 3D Games LLC,2016,1,2
StarQuail Games,2014,1,2
Star Vault AB,2016,1,2
Adam Foster,2014,1,2
Studio Fizbin,2014,1,2
Studio Whisky Tango Inc.,2015,1,2
StudioGIW,2015,0,2
Above and Beyond Technologies,2016,1,2
"TaleWorlds Entertainment,Flying Squirrel Entertainment",2014,2,2
TaleWorlds Entertainment,2010,1,2
Talawa Games,2012,1,2
TT Games,2012,1,2
"TT Fusion,Traveller's Tales,Feral Interactive (Mac)",2016,1,2
"TT Fusion,Traveller's Tales,Feral Interactive (Mac)",2014,1,2
Abstraction Games,2016,0,2
TML-Studios,2016,1,2
"Abstraction Games,WayForward",2016,0,2
TML Studios,2013,1,2
"Acceleroto, Inc.",2015,1,2
Access Games,2016,1,2
Star Maid Games,2016,0,2
Swing Swing Submarine,2014,1,2
Swing Swing Submarine,2011,1,2
Svajūnas Žemaitis,2016,1,2
Supra Games,2016,1,2
SuperVillain Studios,2016,1,2
Actalogic,2014,0,2
Sundae Month,2016,1,2
Sun-Studios,2015,1,2
Sumo Digital,2016,2,2
Subvert Games,2015,1,2
Subsoap,2011,1,2
Subatomic Studios LLC,2015,1,2
Stygian Software,2016,2,2
Stunlock Studios,2015,1,2
Swing Swing Submarine,2013,1,2
"Standing Stone Games, LLC",2013,3,2
"Akella,.dat",2015,1,2
Stainless Games,2016,1,2
SoftStar,2015,1,2
Social Loner Studios,2014,1,2
Soccer Manager Ltd,2016,1,2
Snowbird Games,2014,1,2
Snowbird Games,2013,0,2
"SnowFlame,Back To Basics Gaming",2016,2,2
Snapshot Games Inc.,2014,2,2
Smudged Cat Games Ltd,2014,2,2
Smoodlez,2016,1,2
"Alexey Davydov,Sergey Dvoynikov,Timofey Shargorodskiy",2016,1,2
Smolders,2015,1,2
Alice &amp; Smith,2015,1,2
Alien Pixel Studios,2016,2,2
SomaSim,2016,1,2
Alientrap,2013,1,2
Sluggerfly,2016,1,2
Sleepy Duck,2016,1,2
SleepNinja Games,2016,1,2
Slant Six Games,2014,1,2
Allen Dayan,2016,1,2
SkyGoblin,2016,2,2
"SkyBox Labs,Forgotten Empires",2016,1,2
Almost Human Games,2013,3,2
Sky Drake Studios,2014,0,2
Skobbejak Games,2015,2,2
Skatanic Studios,2016,1,2
Alternative Software Ltd,2014,1,2
Simon Roth,2016,1,2
Smack Down Productions,2015,1,2
Amaterasu Software,2016,0,2
Somi,2014,1,2
Southend,2013,1,2
"Square Enix,DotEmu SAS.",2015,1,2
"Square Enix,DotEmu SAS.",2014,1,2
Sproing,2015,1,2
